GMT,airportId,codeIataAirport,codeIataCity,codeIcaoAirport,codeIso2Country,geonameId,latitudeAirport,longitudeAirport,nameAirport,nameCountry,phone,timezone
-6,653,BFM,MOB,KBFM,US,4051909,30.683332,-88.23333,Mobile Downtown,United States,,America/Chicago
-5,656,BFP,BFP,KBVI,US,5179455,40.766666,-80.4,Beaver Falls,United States,,America/New_York
-5,658,BFR,BFR,KBFR,US,4266314,38.86667,-86.48333,Virgil I Grissom Municipalcipal,United States,,America/Indiana/Indianapolis
-5,660,BFT,BFT,KBFT,US,6298743,32.41083,-80.635,County,United States,,America/New_York
-6,668,BGD,BGD,KBGD,US,5523631,35.65,-101.4,Borger,United States,,America/Chicago
-5,669,BGE,BGE,KBGE,US,4191129,30.916668,-84.583336,Decatur County,United States,,America/New_York
-5,677,BGM,BGM,KBGM,US,5109179,42.208534,-75.98294,Greater Binghamton,United States,,America/New_York
-9,680,BGQ,BGQ,PAGQ,US,5880670,31.2,-101.46667,Big Lake,United States,,America/Anchorage
-5,681,BGR,BGR,KBGR,US,4957297,44.812298,-68.82102,Bangor International Airport,United States,,America/New_York
-6,682,BGS,HCA,,US,0,32.385555,-101.48333,Webb AFB,United States,,America/Chicago
-7,683,BGT,BGT,,US,5552590,34.566666,-113.183334,Bagdad,United States,,America/Phoenix
-5,691,BHB,BHB,KBHB,US,4966387,44.44889,-68.361664,Bar Harbor,United States,,America/New_York
-6,702,BHM,BHM,KBHM,US,4049999,33.560833,-86.75219,Birmingham-Shuttlesworth International Airport,United States,,America/Chicago
-9,717,BIC,BIC,,US,8299340,58.3,-157.51666,Big Creek,United States,,America/Sitka
-5,718,BID,BID,KBID,US,6944260,41.169434,-71.57961,Block Island,United States,,America/New_York
-6,719,BIE,BIE,BIES,US,5063659,40.3,-96.75,Beatrice,United States,,America/Chicago
-7,720,BIF,ELP,KBIF,US,5517110,31.75,-106.48333,Biggs AAF,United States,,America/Denver
-9,721,BIG,BIG,PABI,US,5880620,64.06778,-145.73277,Intermediate Field,United States,,America/Anchorage
-8,722,BIH,BIH,KBIH,US,5328809,37.373333,-118.365,Bishop,United States,,America/Los_Angeles
-7,725,BIL,BIL,KBIL,US,5663220,45.803417,-108.53723,Billings,United States,,America/Denver
-6,732,BIS,BIS,KBIS,US,5688027,46.77448,-100.75821,Bismarck,United States,,America/Chicago
-6,737,BIX,BIX,,US,0,30.4,-88.88333,Keesler AFB,United States,,America/Chicago
-7,741,BJC,BJC,KBJC,US,5426497,39.933334,-105.066666,Jeffco,United States,,America/Denver
-6,747,BJI,BJI,KBJI,US,5017827,47.509724,-94.93472,Bemidji,United States,,America/Chicago
-5,748,BJJ,BJJ,KBJJ,US,5177358,40.8,-81.933334,Wayne County,United States,,America/New_York
-9,765,BKC,BKC,PABL,US,5858173,65.97889,-161.12666,Buckland,United States,,America/Anchorage
-6,766,BKD,BKD,,US,0,32.75,-98.9,Stephens County,United States,,America/Chicago
-8,767,BKE,BKE,KBKE,US,5712208,44.838333,-117.81,Baker,United States,,America/Los_Angeles
-9,768,BKF,BKF,KBKF,US,5415293,58.6,-156.23334,Lake Brooks SPB,United States,,America/Anchorage
-6,769,BKG,BKG,KBBG,US,4378226,36.53208,-93.20055,Branson,United States,,America/Chicago
-10,770,BKH,BKH,PHBK,US,6300268,21.966667,-159.71666,Barking Sands PMRF,United States,,Pacific/Honolulu
-5,774,BKL,CLE,KBKL,US,5148736,41.516945,-81.683334,Burke Lakefront,United States,,America/New_York
-5,781,BKT,BKT,KBKT,US,4747839,37.066666,-78.0,Blackstone AAF,United States,,America/New_York
-5,783,BKW,BKW,KBKW,US,4819314,37.781944,-81.12417,Beckley,United States,,America/New_York
-6,784,BKX,BKX,,US,5226540,44.303333,-96.81111,Brookings,United States,,America/Chicago
-8,790,BLD,LAS,KBVU,US,5500543,35.983334,-114.833336,Boulder City,United States,,America/Los_Angeles
-5,792,BLF,BLF,,US,4814466,37.295834,-81.20805,Princeton,United States,,America/New_York
-8,794,BLH,BLH,KBLH,US,5329650,33.620834,-114.71889,Blythe,United States,,America/Los_Angeles
-8,795,BLI,BLI,KBLI,US,5786905,48.795734,-122.53267,Bellingham,United States,,America/Los_Angeles
-5,799,BLM,BLM,KBLM,US,5095112,40.183334,-74.01667,Monmouth Executive Airport,United States,,America/New_York
-8,807,BLU,BLU,KBLU,US,5329473,39.25,-120.71667,Blue Canyon,United States,,America/Los_Angeles
-6,808,BLV,BLV,KBLV,US,4238794,38.65178,-89.85183,Belleville,United States,,America/Chicago
-7,814,BMC,BMC,KBMC,US,5771966,41.549168,-112.062225,Brigham City,United States,,America/Denver
-5,818,BMG,BMG,KBMG,US,4261527,39.14,-86.61472,Bloomington,United States,,America/Indiana/Indianapolis
-6,820,BMI,BMI,KBMI,US,4885175,40.48401,-88.91483,Central Illinois Regional Airport at Bloomington-Normal,United States,,America/Chicago
-5,823,BML,BML,KBML,US,5083333,44.574722,-71.17639,Berlin Municipal Airport,United States,,America/New_York
-6,831,BMT,BPT,KBMT,US,4673007,30.083332,-94.1,Beaumont Municipalcipal,United States,,America/Chicago
-9,835,BMX,BMX,,US,0,59.361942,-155.25667,Big Mountain,United States,,America/Anchorage
-6,838,BNA,BNA,KBNA,US,4644589,36.13174,-86.668945,Nashville International,United States,615-275-1675,America/Chicago
-9,843,BNF,BNF,,US,5844535,57.0,-135.0,Warm Spring Bay SPB,United States,,America/Sitka
-8,844,BNG,BNG,KBNG,US,5326039,33.933334,-116.86667,Banning,United States,,America/Los_Angeles
-5,845,BNH,HFD,,US,0,41.766666,-72.683334,Barnes,United States,,America/New_York
-5,848,BNL,BNL,KBNL,US,4570021,33.25,-81.38333,Barnwell Regional,United States,,America/New_York
-8,851,BNO,BNO,KBNO,US,5716842,43.583332,-118.95,Burns,United States,,America/Los_Angeles
-6,857,BNW,BNW,KBNW,US,4849071,42.066666,-93.88333,Boone,United States,,America/Chicago
-5,865,BOF,WAS,,US,0,38.9,-77.03333,Bolling AFB,United States,,America/New_York
-7,868,BOI,BOI,KBOI,US,5586438,43.569263,-116.22193,Boise Air Terminal/Gowen Field,United States,,America/Boise
-8,870,BOK,BOK,KBOK,US,5715909,42.05,-124.28333,Brookings State,United States,,America/Los_Angeles
-5,876,BOS,BOS,KBOS,US,4937646,42.36646,-71.02018,Logan International,United States,1-800-23-LOGAN(56426),America/New_York
-5,880,BOW,BOW,KBOW,US,4146730,27.9,-81.833336,Bartow,United States,,America/New_York
-7,891,BPI,BPI,KBPI,US,5818709,42.533333,-110.11667,Big Piney-marbleton,United States,,America/Denver
-6,897,BPT,BPT,KBPT,US,4700822,29.950832,-94.02,Jefferson County,United States,,America/Chicago
-5,908,BQK,SSI,KBQK,US,4197379,31.166668,-81.48333,Glynco Jetport,United States,,America/New_York
-9,916,BQV,GST,,US,0,58.416668,-135.73334,Bartlett SPB,United States,,America/Juneau
-6,921,BRD,BRD,KBRD,US,5019123,46.39722,-94.1375,Brainerd Lakes Regional,United States,,America/Chicago
-6,928,BRL,BRL,KBRL,US,4849845,40.78611,-91.12334,Burlington,United States,,America/Chicago
-6,931,BRO,BRO,KBRO,US,4676748,25.90889,-97.42333,South Padre Is. International,United States,,America/Chicago
-9,939,BRW,BRW,PABR,US,5880054,71.288574,-156.77579,Wiley Post/W.Rogers M,United States,,America/Anchorage
-5,941,BRY,BRY,,US,4283133,37.816666,-85.46667,Samuels Field,United States,,America/New_York
-10,948,BSF,BSF,,US,0,21.383333,-157.75,Bradshaw AAF,United States,,Pacific/Honolulu
-5,951,BSI,BSI,,US,8299248,40.45,-79.28333,Blairsville,United States,,America/New_York
-7,959,BSQ,BSQ,,US,5284913,31.36389,-109.88111,Bisbee Municipal Airport,United States,,America/Phoenix
-9,965,BSW,BSW,,US,5857874,60.4,-146.13333,Boswell Bay,United States,,America/Anchorage
-9,968,BSZ,BSZ,,US,5880068,58.233612,-157.35028,Bartletts,United States,,America/Anchorage
-7,974,BTF,BTF,,US,0,40.88333,-111.88333,Salt Lake Skypark,United States,,America/Denver
-9,977,BTI,BTI,PABA,US,5880061,70.13472,-143.57834,Barter Island,United States,,America/Anchorage
-5,980,BTL,BTL,KBTL,US,5013354,42.37278,-85.26481,WK Kellogg Regional,United States,,America/Detroit
-7,981,BTM,BTM,KBTM,US,5642934,45.95111,-112.49389,Bert Mooney Airport,United States,,America/Denver
-5,982,BTN,BTN,,US,0,34.61667,-79.683334,Bennettsville,United States,,America/New_York
-5,984,BTP,BTP,KBTP,US,5182570,40.85,-79.916664,Butler County - Kenny Scholter Field,United States,,America/New_York
-6,986,BTR,BTR,KBTR,US,4315588,30.532537,-91.156906,Ryan,United States,,America/Chicago
-9,988,BTT,BTT,PABT,US,5880577,66.915276,-151.52638,Bettles,United States,,America/Anchorage
-5,990,BTV,BTV,KBTV,US,5234381,44.469013,-73.15527,Burlington International,United States,,America/New_York
-8,993,BTY,BTY,KBTY,US,5550561,36.9,-116.76667,Beatty,United States,,America/Los_Angeles
-6,995,BUB,BUB,,US,0,41.783333,-99.13333,Municipal,United States,,America/Chicago
-5,998,BUF,BUF,KBUF,US,5119245,42.933826,-78.731804,Buffalo Niagara International,United States,1-716-630-600,America/New_York
-6,1004,BUM,BUM,,US,0,38.266666,-94.333336,Butler,United States,,America/Chicago
-8,1009,BUR,BUR,KBUR,US,5331863,34.19619,-118.35411,Bob Hope,United States,818-840-8840,America/Los_Angeles
-9,1019,BVD,BVD,,US,0,53.733334,-166.31667,Sea Port,United States,,America/Nome
-6,1027,BVO,BVO,KBVO,US,4529988,36.7625,-96.01083,Bartlesville,United States,,America/Chicago
-9,1030,BVU,BVU,PABG,US,5880474,61.169445,-151.03612,Beluga,United States,,America/Anchorage
-6,1032,BVX,BVX,KBVX,US,4100538,35.766666,-91.65,Municipal,United States,,America/Chicago
-5,1033,BVY,BVY,KBVY,US,4930524,42.55,-70.88333,Beverly Municipal Airport,United States,,America/New_York
-8,1037,BWC,BWC,KBWC,US,5330573,32.983334,-115.51667,Brawley,United States,,America/Los_Angeles
-6,1038,BWD,BWD,,US,4676768,31.794722,-98.956665,Brownwood,United States,,America/Chicago
-6,1041,BWG,BWG,KBWG,US,4285270,36.962223,-86.42222,Warren County,United States,,America/Chicago
-5,1043,BWI,BWI,KBWI,US,4347822,39.179527,-76.66894,Baltimore/Washington International Thurgood Marshall,United States,410-859-7111,America/New_York
-6,1046,BWL,BWL,,US,4535485,36.8,-97.28333,Blackwell,United States,,America/Chicago
-7,1047,BWM,BWM,KBPP,US,5688131,46.183334,-103.4,Bowman,United States,,America/Boise
-6,1055,BXA,BXA,KBXA,US,4325598,30.933332,-89.88333,George R Carr,United States,,America/Chicago
-5,1057,BXC,BXC,,US,0,42.483334,-71.53333,Boxborough,United States,,America/New_York
