status,aircraft.iataCode,aircraft.icao24,aircraft.icaoCode,aircraft.regNumber,airline.iataCode,airline.icaoCode,arrival.iataCode,arrival.icaoCode,departure.iataCode,departure.icaoCode,flight.iataNumber,flight.icaoNumber,flight.number,geography.altitude,geography.direction,geography.latitude,geography.longitude,speed.horizontal,speed.isGround,speed.vspeed,system.squawk,system.updated
en-route,B772,A2007C,B772,N228UA,UA,UAL,SFO,KSFO,SYD,YSSY,UA870,UAL870,870,10972.8,39.0,3.1547,-158.667,911.184,0.0,0.0,,1763109098
en-route,B789,A2CB33,B789,N27965,UA,UAL,LAX,KLAX,SYD,YSSY,UA842,UAL842,842,11581.2,62.0,3.8047,-150.379,909.332,0.0,0.0,,1763109098
,B38M,A12777,B38M,N17355,UA,UAL,IAH,KIAH,UIO,SEQM,UA2083,UAL2083,2083,10972.8,333.0,11.2597,-85.3365,877.848,0.0,0.0,,1763109119
en-route,B789,A31A7B,B789,N29989,UA,UAL,EWR,KEWR,NRT,RJAA,UA78,UAL78,78,1272.54,329.0,35.8691,140.3,455.592,0.0,0.0,,1763109118
en-route,B772,AA6B9D,B772,N77012,UA,UAL,SFO,KSFO,NRT,RJAA,UA838,UAL838,838,10668.0,64.0,36.7842,144.588,1153.8,0.0,0.0,,1763109117
en-route,B789,A2CB12,B789,N27957,UA,UAL,HKG,VHHH,LAX,KLAX,UA820,UAL820,820,10355.6,298.0,35.4047,-121.074,875.996,0.0,0.0,,1763109117
en-route,B752,A05A01,B752,N12114,UA,UAL,EWR,KEWR,LAX,KLAX,UA301,UAL301,301,11277.6,81.0,41.1148,-96.2103,911.184,0.0,0.0,,1763109098
started,B772,AA92F8,B772,N78001,UA,UAL,SYD,YSSY,SFO,KSFO,UA863,UAL863,863,0.0,28.0,37.6114,-122.359,16.668,1.0,0.0,,1763109078
en-route,B39M,A12F07,B39M,N17564,UA,UAL,IAH,KIAH,SEA,KSEA,UA2379,UAL2379,2379,9928.86,116.0,46.8894,-119.229,883.404,0.0,0.0,,1763109117
en-route,A21N,A2452A,A21N,N24514,UA,UAL,ORD,KORD,SFO,KSFO,UA249,UAL249,249,7696.2,52.0,38.6981,-120.803,990.82,0.0,0.0,,1763109119
